name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;682;0;636;3091;1387;3091;1596;0
header;215;189;215;225;1851;225;1851;189
A;718;73;718;73;718;73;718;73
A;1020;255;1020;283;1042;283;1042;255
A;1211;440;1211;446;1217;446;1217;440
B;1028;928;1028;956;1048;956;1048;928
A;1393;958;1393;965;1399;965;1399;958
A;1193;959;1193;966;1200;966;1200;959
A;1222;959;1222;966;1229;966;1229;959
A;1364;959;1364;965;1371;965;1371;959
A;1522;1002;1522;1010;1529;1010;1529;1002
A;1259;1004;1259;1011;1266;1011;1266;1004
A;1230;1005;1230;1011;1237;1011;1237;1005
A;1182;1052;1182;1060;1189;1060;1189;1052
A;1233;1373;1233;1381;1240;1381;1240;1373
A;1263;1374;1263;1381;1269;1381;1269;1374
C;1028;1604;1028;1631;1049;1631;1049;1604
B;1362;1730;1362;1747;1388;1747;1388;1730
D;1040;2273;1040;2300;1061;2300;1061;2273
B;1255;2420;1255;2439;1271;2439;1271;2420
B;1155;2555;1155;2570;1165;2570;1165;2555
