name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;352;0;514;3097;1058;3097;988;0
header;177;126;177;165;1810;165;1810;126
A;838;79;838;79;838;79;838;79
A;977;182;977;213;1004;213;1004;182
A;666;434;666;444;673;444;673;434
A;629;662;629;675;636;675;636;662
B;982;856;982;887;1006;887;1006;856
C;983;1529;983;1556;1004;1556;1004;1529
A;477;1782;477;1783;479;1783;479;1782
D;989;2200;989;2227;1010;2227;1010;2200
B;532;2673;532;2690;555;2690;555;2673
B;884;2674;884;2690;907;2690;907;2674
A;720;2814;720;2840;734;2840;734;2814
D;1016;2814;1016;2831;1037;2831;1037;2814
